overall_qual,heating_qc,gr_liv_area,full_bath,kitchen_qual,totrms_abvgrd,fireplaces,fireplace_qu,lot_frontage,lot_area,lot_shape,exter_qual,mas_vnr_stone,mas_vnr_none,mas_vnr_brick,neighborhood,bsmt_qual,total_bsmt_sf,garage_finish,garage_cars,garage_age,sold_years,house_age,remod_years,central_air,logsaleprice
10,4,2076,2,3,7,1,4,105.0,13891,0,4,0,1,0,10,5,2076.0,3,3.0,16.0,0.0,16.0,16.0,1,13.049792684569493
5,4,1110,1,2,4,1,3,66.8,9101,-1,2,0,0,1,3,4,1097.0,3,2.0,44.0,-32.0,44.0,44.0,1,12.016726473799254
5,4,1795,2,1,7,0,0,81.0,12150,0,2,0,0,1,2,3,1050.0,1,1.0,68.0,-54.0,68.0,68.0,0,11.786762130599957
5,4,1040,1,1,5,0,0,70.0,11200,0,2,0,1,0,2,3,1040.0,1,1.0,57.0,-43.0,57.0,57.0,1,11.771436160121729
8,2,1873,1,1,9,2,4,100.0,9670,-1,2,1,0,0,5,3,608.0,3,2.0,87.0,-74.0,87.0,72.0,1,12.45712704000522
5,4,1604,2,1,6,0,0,60.0,10998,0,2,0,1,0,2,3,984.0,1,2.0,45.0,-69.0,81.0,62.0,1,11.669929213779893
7,2,1502,1,1,6,1,4,60.0,7200,0,2,0,1,0,5,4,776.0,2,1.0,91.0,-78.0,91.0,22.0,1,11.911701584927597
5,2,1063,1,1,6,0,0,80.0,9920,0,2,1,0,0,2,3,1056.0,2,1.0,68.0,-57.0,68.0,68.0,1,11.759785542901755
7,4,1626,2,2,6,0,0,36.0,3182,0,3,1,0,0,10,4,764.0,2,2.0,19.0,-5.0,19.0,18.0,1,11.951180395901384
6,4,1524,2,2,4,0,0,41.1,3182,0,3,0,0,1,6,4,756.0,1,2.0,22.0,-7.0,22.0,22.0,1,12.01974306733868
4,2,1981,2,2,7,2,3,65.0,7804,0,2,0,1,0,2,3,1122.0,1,2.0,41.0,-82.0,94.0,72.0,1,11.813030057420567
7,2,2784,3,2,12,2,3,80.0,16692,-1,2,0,0,1,5,4,1392.0,2,2.0,44.0,-29.0,44.0,44.0,1,12.429216196844383
4,4,1092,1,1,5,0,0,34.0,3182,0,2,0,1,0,1,3,546.0,0,0.0,44.0,-41.0,52.0,52.0,1,11.238488619268468
6,2,1575,1,2,5,1,4,75.0,10170,0,2,0,0,1,2,3,216.0,1,2.0,71.0,-56.0,71.0,71.0,1,11.951180395901384
6,2,1352,1,1,7,0,0,80.0,9364,0,2,1,0,0,2,3,663.0,3,1.0,53.0,-42.0,53.0,53.0,1,11.970350312009105
7,4,1200,2,2,4,0,0,34.0,3182,0,3,0,1,0,6,4,600.0,2,2.0,18.0,-7.0,18.0,17.0,1,11.915051671812877
5,2,936,1,1,5,0,0,82.0,9888,0,2,0,1,0,2,3,936.0,1,1.0,68.0,-53.0,68.0,47.0,1,11.703545824578878
6,2,1040,1,1,6,0,0,68.0,7942,0,2,0,1,0,2,3,1040.0,3,1.0,69.0,-54.0,69.0,69.0,1,11.820410164718188
6,3,1636,2,1,7,1,3,73.7,15038,-2,2,0,1,0,4,4,916.0,3,2.0,26.0,-13.0,26.0,26.0,1,12.061046873479915
8,4,2270,2,2,9,1,4,92.0,11764,-1,3,0,0,1,10,4,1152.0,3,3.0,23.0,-12.0,23.0,15.0,1,12.577636201962656
8,4,2610,2,3,11,1,4,75.0,9000,0,3,0,1,0,6,4,1184.0,3,2.0,15.0,0.0,15.0,15.0,1,12.623061104072981
7,3,1483,1,1,4,2,3,97.7,16737,-1,3,0,1,0,6,4,1420.0,2,2.0,45.0,-33.0,45.0,21.0,1,12.506177237980511
5,3,1740,1,3,6,1,4,81.0,7308,0,1,0,1,0,2,3,936.0,1,1.0,102.0,-89.0,102.0,72.0,0,11.713823407337118
5,3,1382,1,2,6,0,0,70.0,8750,0,2,0,1,0,2,3,1382.0,1,1.0,67.0,-55.0,67.0,67.0,1,11.938193200374572
5,4,1120,1,1,6,0,0,70.0,8402,0,2,0,1,0,3,4,1120.0,0,0.0,44.0,0.0,15.0,15.0,1,11.898187865760873
7,2,1098,1,1,5,1,4,63.0,4000,0,2,0,1,0,5,4,531.0,1,1.0,92.0,-78.0,92.0,27.0,1,11.908340237224891
7,4,1708,2,2,7,0,0,34.0,3363,0,3,1,0,0,2,4,976.0,1,2.0,18.0,-3.0,18.0,18.0,1,11.77528972943772
9,4,1802,2,3,7,1,4,94.0,13615,-1,4,1,0,0,10,5,1802.0,3,3.0,16.0,-1.0,16.0,16.0,1,12.826649133255284
7,4,1506,2,2,6,1,4,43.0,3182,0,3,0,0,1,5,4,1362.0,3,2.0,17.0,-1.0,17.0,17.0,1,12.27134527214637
7,4,1508,1,2,5,2,3,44.0,16737,-2,3,1,0,0,2,4,1508.0,2,2.0,13.0,-1.0,13.0,12.0,1,12.637952459809789
7,4,2032,3,2,7,0,0,82.1,16737,-2,3,0,0,1,3,5,1840.0,3,3.0,26.0,-13.0,26.0,25.0,1,12.611537753638338
6,4,1194,1,1,6,1,2,79.0,8910,0,2,0,1,0,2,3,655.0,3,2.0,68.0,-48.0,63.0,63.0,1,11.979799201207037
7,4,1709,2,2,7,0,0,34.0,3182,0,3,1,0,0,2,4,970.0,1,2.0,18.0,-3.0,18.0,18.0,1,11.831379196088763
7,4,1616,2,2,7,0,0,73.0,8688,0,3,0,0,1,6,4,1616.0,2,3.0,17.0,-1.0,17.0,17.0,1,12.354492650648448
6,2,768,1,1,4,0,0,56.6,6291,-1,3,0,1,0,1,3,768.0,1,2.0,92.0,-79.0,92.0,72.0,1,11.449453042014655
5,1,872,1,0,5,1,4,91.1,16737,0,2,1,0,0,2,3,872.0,1,1.0,98.0,-83.0,98.0,72.0,0,11.56171562913966
4,1,520,1,0,4,0,0,60.0,6324,-1,2,0,1,0,2,3,520.0,1,1.0,102.0,-82.0,95.0,72.0,0,11.134589024250317
5,2,2274,2,1,12,0,0,80.0,11600,0,2,0,0,1,2,3,1105.0,1,2.0,62.0,-51.0,62.0,62.0,1,11.946654038351252
5,4,1601,2,1,6,0,0,50.0,7288,0,3,0,1,0,1,3,936.0,0,0.0,44.0,-83.0,97.0,19.0,1,11.774135217090894
5,4,1232,1,1,6,0,0,35.0,4571,0,2,0,1,0,2,3,616.0,1,2.0,102.0,-98.0,112.0,72.0,1,11.643953727376633
9,4,2234,2,3,9,1,4,63.0,16737,-1,4,1,0,0,10,5,2216.0,3,3.0,13.0,-2.0,14.0,13.0,1,13.1260306447518
5,3,1416,1,1,7,1,4,100.0,12665,-1,2,0,1,0,2,3,876.0,1,3.0,73.0,-94.0,107.0,72.0,1,11.94405831982697
4,3,864,1,1,5,0,0,60.0,9000,0,2,0,1,0,2,3,864.0,1,2.0,36.0,-39.0,51.0,16.0,1,11.77528972943772
6,4,1189,2,1,4,0,0,34.0,4500,0,2,0,0,1,3,5,1189.0,2,2.0,25.0,-11.0,25.0,25.0,1,11.986049221552207
9,4,1666,2,2,6,1,4,48.0,6373,0,4,0,0,1,10,5,1666.0,2,2.0,16.0,0.0,16.0,16.0,1,12.644617856906528
7,4,1200,2,2,5,0,0,67.0,10083,0,3,0,1,0,4,4,1176.0,2,2.0,19.0,-7.0,19.0,19.0,1,12.127570417375216
5,2,928,1,1,4,0,0,70.0,13300,0,2,0,1,0,2,4,928.0,1,1.0,66.0,-52.0,66.0,22.0,1,11.790557201568507
5,2,1336,2,1,6,1,2,80.0,9600,0,2,0,0,1,5,4,1288.0,2,2.0,53.0,-41.0,53.0,53.0,1,12.0015054797889
7,4,1200,2,2,4,0,0,34.0,3215,0,3,0,0,1,6,4,600.0,2,2.0,18.0,-7.0,18.0,18.0,1,11.951180395901384
6,3,1427,2,1,7,0,0,83.3,11104,-1,2,0,1,0,5,3,1427.0,2,2.0,53.0,-39.0,53.0,53.0,1,12.117241431823558
7,4,1992,2,2,7,2,3,71.6,15295,-3,3,0,0,1,5,4,860.0,2,2.0,26.0,-12.0,26.0,20.0,1,12.259613412458204
7,4,1540,2,2,6,0,0,70.0,9109,0,3,0,1,0,4,4,754.0,2,2.0,28.0,-16.0,28.0,28.0,1,12.122691036591123
5,2,1535,2,1,8,0,0,64.0,7018,0,2,0,1,0,4,0,0.0,1,2.0,43.0,-31.0,43.0,43.0,1,11.685684782260491
5,2,1152,1,1,6,1,4,86.6,14112,-1,2,0,0,1,2,3,1152.0,2,2.0,58.0,-47.0,58.0,58.0,1,12.103486056755072
8,4,1151,2,2,5,0,0,80.0,3523,-1,3,1,0,0,6,4,1141.0,3,2.0,16.0,-1.0,16.0,15.0,1,12.01974306733868
6,4,1138,1,1,6,1,3,88.0,15312,0,2,0,0,1,2,3,1138.0,2,2.0,62.0,-50.0,62.0,62.0,1,11.904967552746252
5,3,1074,1,2,6,1,4,74.0,7450,-1,2,0,1,0,2,3,894.0,1,2.0,56.0,-52.0,66.0,66.0,1,11.728036844587175
9,4,1561,2,3,6,1,4,60.0,7313,0,4,0,0,1,10,5,1561.0,3,2.0,17.0,-2.0,17.0,17.0,1,12.533576212168626
8,4,2726,2,2,9,1,5,83.0,10019,-1,3,0,0,1,10,4,1342.0,2,3.0,27.0,-12.0,27.0,27.0,1,12.765688433465597
9,4,1884,2,3,7,1,4,53.0,15401,-1,4,0,0,1,10,5,1884.0,3,3.0,18.0,-5.0,18.0,18.0,1,12.866179972011919
4,4,605,1,1,5,0,0,58.0,9098,-1,2,0,1,0,2,3,528.0,0,0.0,44.0,-88.0,102.0,20.0,1,11.362102575235644
8,4,1671,3,3,6,1,4,103.0,16280,0,4,0,1,0,7,4,1426.0,2,2.0,46.0,-33.0,46.0,15.0,1,12.577636201962656
3,2,797,1,1,5,0,0,72.0,9392,0,2,0,1,0,1,2,245.0,0,0.0,44.0,-110.0,122.0,72.0,0,10.691944912900398
6,4,1961,2,2,7,1,3,71.0,12209,-1,2,0,1,0,3,5,804.0,3,2.0,21.0,-9.0,21.0,20.0,1,12.2783933071098
5,4,1193,2,1,6,0,0,79.0,13110,-1,2,0,0,1,5,4,1153.0,3,2.0,50.0,-35.0,50.0,50.0,1,11.894780707439258
7,4,1382,2,2,6,0,0,34.0,3182,0,3,0,1,0,6,4,673.0,1,2.0,22.0,-7.0,22.0,22.0,1,12.013700752882718
6,2,2526,2,2,10,1,4,60.0,8520,0,2,0,1,0,2,3,714.0,1,1.0,106.0,-92.0,106.0,72.0,0,11.820410164718188
6,4,1390,1,3,4,2,4,105.0,16737,-1,2,1,0,0,2,4,1705.0,1,2.0,65.0,-50.0,65.0,65.0,1,12.437184366493561
7,4,1626,2,2,6,0,0,36.0,3182,0,3,1,0,0,10,4,764.0,2,2.0,19.0,-8.0,19.0,19.0,1,12.075394321888057
5,2,1558,1,1,7,1,4,57.0,6406,0,2,0,1,0,2,3,690.0,1,2.0,83.0,-71.0,83.0,72.0,1,11.918390573078392
5,2,1422,1,1,6,1,3,78.5,12342,-1,2,0,1,0,2,3,978.0,2,1.0,62.0,-48.0,62.0,44.0,1,11.848683160653573
5,2,1573,2,1,8,1,4,52.0,6240,0,2,0,1,0,2,3,1078.0,1,2.0,92.0,-79.0,92.0,30.0,1,12.000891794590137
6,2,1116,1,1,5,0,0,87.0,10000,-1,2,0,0,1,2,3,1116.0,1,2.0,60.0,-49.0,60.0,60.0,1,11.982929094215963
2,1,660,1,0,5,0,0,70.2,9000,0,2,0,1,0,2,0,0.0,0,0.0,44.0,-63.0,75.0,72.0,0,11.065074640365626
6,3,1707,2,1,7,1,3,80.0,11088,0,2,0,0,1,5,3,1140.0,3,2.0,44.0,-32.0,44.0,24.0,1,12.122691036591123
5,2,1466,1,0,6,2,4,105.0,16737,0,2,0,0,1,2,3,1466.0,3,2.0,63.0,-48.0,63.0,63.0,1,11.917723684090689
9,4,1638,2,3,5,1,3,51.4,4765,-1,3,0,0,1,6,4,1614.0,3,2.0,22.0,-9.0,22.0,22.0,1,12.611537753638338
5,3,1721,2,1,7,2,3,80.3,10532,0,2,1,0,0,6,3,988.0,1,2.0,62.0,-49.0,62.0,62.0,1,11.884489021402711
6,4,1764,2,2,7,0,0,65.0,15426,-1,2,0,1,0,5,4,928.0,2,2.0,25.0,-13.0,25.0,25.0,1,12.352335152508426
5,4,996,1,1,6,1,4,63.0,13907,0,2,0,1,0,2,3,996.0,0,0.0,44.0,-69.0,82.0,53.0,1,11.589886506106357
5,2,1202,1,1,6,0,0,70.0,8750,0,2,0,1,0,2,3,1202.0,2,1.0,66.0,-54.0,66.0,66.0,1,11.695247021764184
5,2,988,1,1,5,0,0,77.4,9945,-1,2,0,0,1,2,3,988.0,1,2.0,59.0,-46.0,61.0,61.0,1,11.763684183317412
5,3,1028,1,1,5,1,4,56.0,8960,0,2,0,1,0,2,3,1008.0,1,2.0,95.0,-84.0,95.0,72.0,1,11.652687407345388
5,2,1284,1,1,5,0,0,50.0,3500,0,2,0,1,0,2,3,720.0,1,1.0,74.0,-63.0,75.0,72.0,1,11.608235644774552
9,2,2944,2,2,9,1,4,84.1,16737,-1,3,0,0,1,7,4,994.0,2,3.0,45.0,-31.0,45.0,45.0,1,11.918390573078392
8,4,1414,2,2,6,1,4,74.0,9056,-1,3,0,1,0,4,5,707.0,3,2.0,18.0,-3.0,18.0,18.0,1,12.089538829274222
7,4,1609,1,2,8,2,4,70.0,12320,-1,2,0,1,0,5,3,637.0,1,3.0,59.0,-75.0,90.0,32.0,1,12.203569515312056
6,4,1525,2,1,6,1,3,60.0,8238,-1,2,0,1,0,4,3,813.0,3,2.0,25.0,-9.0,25.0,24.0,1,12.119969946476761
5,4,1656,1,1,7,1,1,75.0,6000,0,1,0,1,0,1,4,624.0,1,1.0,55.0,-42.0,55.0,55.0,1,11.744037185933616
7,1,1055,2,1,4,0,0,34.0,3182,0,2,0,1,0,2,4,1055.0,1,2.0,45.0,-31.0,45.0,45.0,1,11.908340237224891
5,4,1352,2,2,7,0,0,60.0,10800,0,2,0,1,0,2,3,676.0,1,2.0,83.0,-71.0,83.0,16.0,1,11.911701584927597
6,2,1456,2,1,6,1,3,34.0,3182,0,2,0,1,0,2,4,855.0,1,2.0,45.0,-33.0,45.0,45.0,1,11.834284063781393
8,4,1719,1,2,6,2,4,34.0,10846,-1,3,0,1,0,7,4,1719.0,3,2.0,29.0,-15.0,29.0,29.0,1,12.688498794774466
5,2,864,1,1,5,0,0,67.0,5604,0,2,0,1,0,2,3,864.0,0,0.0,44.0,-83.0,97.0,72.0,0,11.49272275765271
6,2,987,1,1,5,0,0,34.0,3182,0,2,0,0,1,1,3,483.0,1,1.0,49.0,-35.0,49.0,49.0,1,11.546360241056465
5,3,1020,1,1,6,0,0,54.0,6342,0,2,0,1,0,2,3,780.0,0,0.0,44.0,-136.0,147.0,26.0,0,11.451050061252142
8,4,1554,2,2,6,1,4,34.0,4590,0,3,1,0,0,10,4,1554.0,2,2.0,16.0,-1.0,16.0,16.0,1,12.25247901834433
10,4,3390,3,3,10,1,5,60.0,16737,-1,4,0,0,1,10,5,1528.0,3,3.0,16.0,0.0,16.0,16.0,1,13.20895199837856
6,4,1560,1,2,7,0,0,60.0,12900,0,3,0,1,0,2,3,780.0,0,0.0,44.0,-99.0,110.0,13.0,1,11.982303898822046
4,4,864,1,1,4,0,0,105.0,16737,0,2,0,1,0,4,3,864.0,1,2.0,71.0,-60.0,71.0,71.0,1,11.856515169360305
6,4,1889,2,1,9,1,3,68.4,8658,-1,2,0,1,0,4,4,982.0,3,2.0,22.0,-7.0,22.0,22.0,1,12.2783933071098
5,4,1040,1,1,6,0,0,62.9,6897,-1,2,0,1,0,2,3,1040.0,1,1.0,60.0,-49.0,60.0,12.0,1,11.751942365440728
5,2,1172,1,1,5,0,0,75.0,9525,0,2,0,1,0,2,3,1172.0,3,1.0,68.0,-57.0,68.0,24.0,1,11.759785542901755
8,4,1418,1,2,6,1,4,57.0,12853,-1,3,0,1,0,6,5,1642.0,2,3.0,12.0,0.0,12.0,12.0,1,12.498428777526835
6,2,1367,1,1,6,1,4,52.0,6240,0,2,0,1,0,2,3,884.0,1,1.0,44.0,-77.0,91.0,72.0,1,11.755871643580617
7,4,1922,3,2,7,1,5,64.0,7301,0,3,0,0,1,2,0,0.0,2,2.0,19.0,-7.0,19.0,19.0,1,12.198544379109382
6,2,1422,2,2,7,1,3,78.0,12090,-1,2,0,0,1,5,4,1422.0,3,2.0,41.0,-27.0,41.0,41.0,1,12.075394321888057
7,4,1842,2,2,7,1,3,72.3,8826,0,3,0,0,1,5,4,985.0,3,2.0,22.0,-8.0,22.0,22.0,1,12.289954129510877
4,4,1962,1,1,9,1,3,57.0,8094,0,2,0,1,0,2,3,888.0,1,2.0,107.0,-96.0,107.0,72.0,1,11.915051671812877
5,4,1120,1,1,5,1,3,76.8,10710,0,3,0,0,1,2,3,864.0,2,2.0,56.0,-44.0,56.0,18.0,1,11.910358401381128
9,4,2868,3,3,11,1,4,85.0,16056,-1,3,1,0,0,10,5,1992.0,3,3.0,17.0,-1.0,17.0,16.0,1,13.229567991666638
6,3,1478,1,1,6,2,4,70.0,8400,0,2,0,1,0,2,3,1478.0,2,2.0,65.0,-53.0,65.0,65.0,1,11.960811288962345
7,4,1995,2,2,8,1,3,90.0,11250,0,3,0,1,0,5,4,930.0,2,2.0,27.0,-12.0,27.0,26.0,1,12.375815420117268
5,1,912,1,1,5,0,0,70.0,7535,-1,2,0,1,0,2,3,912.0,3,1.0,64.0,-50.0,64.0,37.0,1,11.695247021764184
6,4,1326,2,2,6,0,0,88.0,12216,-1,2,0,1,0,4,4,1326.0,3,2.0,17.0,-2.0,17.0,17.0,1,12.220961258023925
8,2,1204,2,1,5,0,0,34.0,3701,-1,2,0,1,0,10,4,1191.0,2,2.0,35.0,-20.0,35.0,35.0,1,11.77528972943772
6,2,1611,1,1,7,0,0,80.0,9760,0,2,0,0,1,2,3,780.0,2,2.0,58.0,-45.0,58.0,58.0,1,12.031123843065632
4,2,960,1,1,6,0,0,60.0,9873,0,2,0,0,1,2,3,960.0,1,2.0,52.0,-37.0,52.0,52.0,0,11.76756768334381
5,2,1236,1,2,6,1,2,72.0,10011,-1,2,0,0,1,2,3,1070.0,1,1.0,65.0,-50.0,65.0,26.0,1,11.80894766169701
5,4,1416,2,2,7,0,0,104.5,16737,0,2,0,1,0,2,3,816.0,1,2.0,15.0,-90.0,104.0,15.0,1,11.626254150277232
7,4,1873,2,2,7,1,3,67.6,8883,-1,3,0,0,1,4,4,929.0,2,2.0,34.0,-20.0,34.0,34.0,1,12.240474072247506
5,2,2128,2,1,11,0,0,50.0,3182,0,2,0,1,0,2,3,1040.0,0,0.0,44.0,-88.0,100.0,72.0,0,11.042921835724492
7,4,1626,2,2,6,0,0,36.0,3182,0,3,1,0,0,10,4,764.0,2,2.0,19.0,-5.0,19.0,18.0,1,11.944707881395766
5,2,816,1,1,5,0,0,73.0,7100,-1,2,0,1,0,2,3,816.0,1,1.0,65.0,-50.0,65.0,65.0,1,11.77452020265869
5,2,1112,1,1,4,0,0,36.0,3182,0,2,0,1,0,1,4,536.0,1,1.0,46.0,-35.0,46.0,46.0,1,11.350406535472453
7,2,1111,1,1,5,1,4,47.9,5700,0,2,0,1,0,2,3,572.0,1,1.0,40.0,-83.0,96.0,72.0,1,11.66907414746016
6,2,1441,2,1,7,1,3,34.0,3182,0,2,0,1,0,2,3,855.0,1,2.0,44.0,-32.0,44.0,44.0,1,11.908340237224891
4,1,924,1,0,5,0,0,60.0,12180,0,2,0,1,0,2,4,672.0,1,1.0,81.0,-70.0,81.0,72.0,0,11.289781913656018
5,2,1126,1,1,5,0,0,69.0,7400,-1,2,0,1,0,2,4,1060.0,1,2.0,38.0,-25.0,38.0,38.0,1,11.931635799828413
5,4,992,1,1,6,0,0,68.0,8842,0,2,0,1,0,2,2,381.0,1,1.0,68.0,-57.0,68.0,68.0,1,11.956912324065804
6,4,1376,1,2,7,0,0,60.0,8850,0,2,0,1,0,2,3,768.0,1,2.0,45.0,-88.0,102.0,72.0,1,12.013700752882718
7,4,1218,2,2,4,0,0,92.0,9215,0,3,0,1,0,6,4,1218.0,2,2.0,13.0,-1.0,13.0,12.0,1,12.228323254464993
5,4,1644,1,2,7,2,4,79.0,9480,0,2,1,0,0,2,3,728.0,1,1.0,80.0,-66.0,80.0,27.0,1,11.894780707439258
7,2,1601,2,1,7,1,3,82.0,11880,-1,2,0,0,1,5,4,1271.0,2,2.0,44.0,-32.0,44.0,44.0,1,11.964001084330445
7,3,2495,2,1,10,1,4,60.0,10800,0,2,0,1,0,2,3,1313.0,1,2.0,72.0,-118.0,132.0,23.0,1,12.122691036591123
6,4,1509,2,2,7,1,4,60.8,7861,-1,3,0,1,0,4,4,783.0,3,2.0,20.0,-5.0,20.0,19.0,1,12.118333731222167
5,2,1092,1,1,6,1,1,80.0,11616,0,2,0,0,1,2,3,1092.0,1,1.0,60.0,-48.0,60.0,60.0,1,11.842229212112828
7,4,2418,2,2,9,1,3,96.0,10542,0,3,0,0,1,10,4,1311.0,2,3.0,29.0,-15.0,29.0,28.0,1,12.739637756265655
6,2,987,1,1,5,0,0,34.0,3182,0,2,0,0,1,1,3,483.0,1,1.0,51.0,-40.0,51.0,51.0,1,11.472103470449973
